Codigo,Codigo/Empresa
BHIA3,BHIA3 - Grupo Casas Bahia
RZAT11,RZAT11 - Riza Arctium Real Estate FII Closed Fund
GRWA11,GRWA11 - Fiagro Greenwich Fundo de Investimento nas Cadeias Produtivas Agroindustriais
CRAA11,CRAA11 - Sparta Fiagro Fundo de Investimento Cadeias Produtivas Agroindustriais
ZAMP3,ZAMP3 - ZAMP S.A.
HGAG11,HGAG11 - HGI Capital
BBGO11,BBGO11 - BB FI Credito Fiagro Imobiliario
AGRX11,AGRX11 - Exes Araguaia
PLCA11,PLCA11 - Plural BRB Credito Agro
RURA11,RURA11 - Itau Asset Rural Fiagro
SNAG11,SNAG11 - Suno Agro
GCRA11,GCRA11 - Galapagos Recebiveis do Agro
VCRA11,VCRA11 - Vectis Datagro
KNCA11,KNCA11 - Kinea Credito Agro
NCRA11,NCRA11 - NCH Capital Brasil
CPTR11,CPTR11 - Capitania Agro
FGAA11,FGAA11 - FG Agro
EGAF11,EGAF11 - Ecoagro
VGIA11,VGIA11 - Valora Investimentos
LSAG11,LSAG11 - LESTE FIAGRO
N2ET34,N2ET34 - CLOUDFLARE DRN
M1TA34,M1TA34 - META PLAT DRN
FOOD11,FOOD11 - Investo ETF Global Agribusiness
AERI3,AERI3 - Aeris
ICBR3,ICBR3 - Intercement
DOTZ3,DOTZ3 - Dotz
GOLL3,GOLL3 - Gol
, - VIA S.A
ARML3,ARML3 - Armac
MLAS3,MLAS3 - Multi
CBAV3,CBAV3 - CBA
TTEN3,TTEN3 - 3tentos
BRBI11,BRBI11 - BR Partners
NINJ3,NINJ3 - GetNinjas
ATEA3,ATEA3 - Athena Saúde
MODL4,MODL4 - Banco Modal
MODL11,MODL11 - Banco Modal
MODL3,MODL3 - Banco Modal
VITT3,VITT3 - Vittia Fertilizantes
KRSA3,KRSA3 - Kora Saúde
CXSE3,CXSE3 - Boa Safra
CXSE3,CXSE3 - Caixa Seguridade
RIOS3,RIOS3 - Rio Alto Energias Renováveis
HCAR3,HCAR3 - Hospital Care Caledonia
GGPS3,GGPS3 - Grupos GPS
MATD3,MATD3 - Mater Dei
ALLD3,ALLD3 - Allied Tecnologia
BLAU3,BLAU3 - Blau Farmacêutica
ATMP3,ATMP3 - Atma Participações
ASAI3,ASAI3 - Assaí
JSLG3,JSLG3 - Grupo JSL
CMIN3,CMIN3 - CSN Mineração
ELMD3,ELMD3 - Eletromídia
ORVR3,ORVR3 - Orizon
OPCT3,OPCT3 - OceanPact
WEST3,WEST3 - Westwing
CSED3,CSED3 - Cruzeiro Do Sul Educacional
BMOB3,BMOB3 - Bemobi
JALL3,JALL3 - Jalles Machado
MBLY3,MBLY3 - Mobly
ESPA3,ESPA3 - Espaçolaser
VAMO3,VAMO3 - Vamos
INTB3,INTB3 - Intelbras SA
CJCT11,CJCT11 - Hedge Investiments
BMLC11,BMLC11 - BM Brascam Lajes Corporativas
RECR11,RECR11 - Real Estate Capital
URPR11,URPR11 - FII URCA RENCI
DEVA11,DEVA11 - Devant Recebíveis Imobiliários
MFAI11,MFAI11 - Mérito Investimentos
NGRD3,NGRD3 - Neogrid
AVLL3,AVLL3 - Alphaville S.A.
RRRP3,RRRP3 - 3R Petroleum
ENJU3,ENJU3 - Enjoei
CASH3,CASH3 - Méliuz
TFCO4,TFCO4 - Track & Field
CONX3,CONX3 - Triple Play
GMAT3,GMAT3 - Grupo Mateus
SEQL3,SEQL3 - Sequoia
PASS3,PASS3 - Compass
BOAS3,BOAS3 - Boa Vista SCPC
MELK3,MELK3 - Melnick
HBSA3,HBSA3 - Hidrovias do Brasil
CURY3,CURY3 - Simpar
CURY3,CURY3 - Cury
PLPL3,PLPL3 - Plano & Plano
PETZ3,PETZ3 - Petz
PGMN3,PGMN3 - Pague Menos
LAVV3,LAVV3 - Lavvi Incorporadora
LJQQ3,LJQQ3 - Quero-Quero
DMVF3,DMVF3 - d1000
SOMA3,SOMA3 - Grupo Soma
RIVA3,RIVA3 - Riva 9
AMBP3,AMBP3 - Ambipar
ALPK3,ALPK3 - Allpark
MTRE3,MTRE3 - Mitre Realty
MDNE3,MDNE3 - Moura Dubeux
ALOS3,ALOS3 - Bardella
ALOS3,ALOS3 - Aliansce Sonae Shopping Centers
VIIA3,VIIA3 - VIA S.A
CEDO4,CEDO4 - Cedro
CEDO3,CEDO3 - Cedro
NFLX34,NFLX34 - Netflix
NIKE34,NIKE34 - Nike
MCDC34,MCDC34 - McDonald's
HOME34,HOME34 - Home Depot
FDMO34,FDMO34 - Ford Motors
CMCS34,CMCS34 - Comcast
SLED3,SLED3 - Amazon
RDNI3,RDNI3 - Rodobens
